feature,pearson_r,spearman_r,abs_pearson,n_samples,type,signal
sog_avg_20,0.3714,0.3358,0.3714,121012,PRE-GAME,STRONG
sog_avg_10,0.3437,0.3082,0.3437,124202,PRE-GAME,STRONG
goals,0.3052,0.2693,0.3052,137160,SAME-GAME,STRONG
sog_avg_5,0.2989,0.2707,0.2989,117569,PRE-GAME,STRONG
points,0.2753,0.2495,0.2753,137160,SAME-GAME,STRONG
sog_avg_3,0.269,0.251,0.269,68142,PRE-GAME,STRONG
toi_minutes,0.2484,0.2399,0.2484,137160,SAME-GAME,STRONG
toi_avg_10,0.1996,0.1972,0.1996,134590,PRE-GAME,STRONG
toi_avg_5,0.1991,0.1972,0.1991,134590,PRE-GAME,STRONG
power_play_goals,0.1897,0.1667,0.1897,137160,SAME-GAME,STRONG
pos_is_D,-0.1249,-0.1215,0.1249,137160,PRE-GAME,MODERATE
assists,0.1124,0.1069,0.1124,137160,SAME-GAME,MODERATE
takeaways,0.0808,0.0745,0.0808,137160,SAME-GAME,MODERATE
plus_minus,0.0676,0.0665,0.0676,137160,SAME-GAME,MODERATE
faceoff_win_pct,0.0622,0.0662,0.0622,137160,SAME-GAME,MODERATE
sog_allowed_avg_20,0.058,0.0514,0.058,132505,PRE-GAME,MODERATE
sog_allowed_avg_10,0.0552,0.0483,0.0552,134844,PRE-GAME,MODERATE
giveaways,0.0535,0.0491,0.0535,137160,SAME-GAME,MODERATE
blocked_shots,-0.0515,-0.0457,0.0515,137160,SAME-GAME,MODERATE
sog_allowed_avg_5,0.0475,0.0422,0.0475,135782,PRE-GAME,WEAK
hits,-0.045,-0.0453,0.045,137160,SAME-GAME,WEAK
pos_is_C,0.0354,0.0339,0.0354,137160,PRE-GAME,WEAK
is_home,0.0248,0.0223,0.0248,137160,PRE-GAME,WEAK
total_missing_toi,-0.0187,-0.0212,0.0187,137160,PRE-GAME,WEAK
def_missing_toi,-0.0153,-0.0163,0.0153,137160,PRE-GAME,WEAK
fwd_missing_toi,-0.0133,-0.0153,0.0133,137160,PRE-GAME,WEAK
def_missing,-0.0117,-0.0129,0.0117,137160,PRE-GAME,WEAK
fwd_missing,-0.0098,-0.0132,0.0098,137160,PRE-GAME,WEAK
pim,-0.0067,0.0018,0.0067,137160,SAME-GAME,WEAK
